,기간,지역,환자수
202,2019,경남,5871.0
203,2019,제주,1112.0
204,2019,기타,
205,2020,계,102532.0
206,2020,서울,19512.0
207,2020,부산,6418.0
208,2020,대구,4767.0
209,2020,인천,4943.0
210,2020,광주,2419.0
211,2020,대전,2606.0
212,2020,울산,2013.0
213,2020,세종,502.0
214,2020,경기,25035.0
215,2020,강원,3480.0
216,2020,충북,3289.0
217,2020,충남,4785.0
218,2020,전북,4174.0
219,2020,전남,4675.0
220,2020,경북,6379.0
221,2020,경남,6309.0
222,2020,제주,1223.0
223,2020,기타,
