,기간,지역,인구
101,2014,제주,607346.0
102,2015,서울,10022181.0
103,2015,부산,3513777.0
104,2015,대구,2487829.0
105,2015,인천,2925815.0
106,2015,광주,1472199.0
107,2015,대전,1518775.0
108,2015,울산,1173534.0
109,2015,세종,210884.0
110,2015,경기,12522606.0
111,2015,강원,1549507.0
112,2015,충북,1583952.0
113,2015,충남,2077649.0
114,2015,전북,1869711.0
115,2015,전남,1908996.0
116,2015,경북,2702826.0
117,2015,경남,3364702.0
118,2015,제주,624395.0
119,2016,서울,9930616.0
120,2016,부산,3498529.0
121,2016,대구,2484557.0
122,2016,인천,2943069.0
123,2016,광주,1469214.0
124,2016,대전,1514370.0
125,2016,울산,1172304.0
126,2016,세종,243048.0
127,2016,경기,12716780.0
128,2016,강원,1550806.0
129,2016,충북,1591625.0
130,2016,충남,2096727.0
131,2016,전북,1864791.0
132,2016,전남,1903914.0
133,2016,경북,2700398.0
134,2016,경남,3373871.0
135,2016,제주,641597.0
136,2017,서울,9857426.0
137,2017,부산,3470653.0
138,2017,대구,2475231.0
139,2017,인천,2948542.0
140,2017,광주,1463770.0
141,2017,대전,1502227.0
142,2017,울산,1165132.0
143,2017,세종,280100.0
144,2017,경기,12873895.0
145,2017,강원,1550142.0
146,2017,충북,1594432.0
147,2017,충남,2116770.0
148,2017,전북,1854607.0
149,2017,전남,1896424.0
150,2017,경북,2691706.0
151,2017,경남,3380404.0
152,2017,제주,657083.0
153,2018,서울,9765623.0
154,2018,부산,3441453.0
155,2018,대구,2461769.0
156,2018,인천,2954642.0
157,2018,광주,1459336.0
158,2018,대전,1489936.0
159,2018,울산,1155623.0
160,2018,세종,314126.0
161,2018,경기,13077153.0
162,2018,강원,1543052.0
163,2018,충북,1599252.0
164,2018,충남,2126282.0
165,2018,전북,1836832.0
166,2018,전남,1882970.0
167,2018,경북,2676831.0
168,2018,경남,3373988.0
169,2018,제주,667191.0
170,2019,서울,9729107.0
171,2019,부산,3413841.0
172,2019,대구,2438031.0
173,2019,인천,2957026.0
174,2019,광주,1456468.0
175,2019,대전,1474870.0
176,2019,울산,1148019.0
177,2019,세종,340575.0
178,2019,경기,13239666.0
179,2019,강원,1541502.0
180,2019,충북,1600007.0
181,2019,충남,2123709.0
182,2019,전북,1818917.0
183,2019,전남,1868745.0
184,2019,경북,2665836.0
185,2019,경남,3362553.0
186,2019,제주,670989.0
187,2020,서울,9668465.0
188,2020,부산,3391946.0
189,2020,대구,2418346.0
190,2020,인천,2942828.0
191,2020,광주,1450062.0
192,2020,대전,1463882.0
193,2020,울산,1136017.0
194,2020,세종,355831.0
195,2020,경기,13427014.0
196,2020,강원,1542840.0
197,2020,충북,1600837.0
198,2020,충남,2121029.0
199,2020,전북,1804104.0
200,2020,전남,1851549.0
201,2020,경북,2639422.0
202,2020,경남,3340216.0
203,2020,제주,674635.0
204,2021,서울,9509458.0
205,2021,부산,3350380.0
206,2021,대구,2385412.0
207,2021,인천,2948375.0
208,2021,광주,1441611.0
209,2021,대전,1452251.0
210,2021,울산,1121592.0
211,2021,세종,371895.0
212,2021,경기,13565450.0
213,2021,강원,1538492.0
214,2021,충북,1597427.0
215,2021,충남,2119257.0
216,2021,전북,1786855.0
217,2021,전남,1832803.0
218,2021,경북,2626609.0
219,2021,경남,3314183.0
220,2021,제주,676759.0
