,기간,지역,환자수,인구
180,2018,전북,3562.0,1836832.0
181,2018,전남,4043.0,1882970.0
182,2018,경북,5271.0,2676831.0
183,2018,경남,5230.0,3373988.0
184,2018,제주,1027.0,667191.0
185,2018,기타,,
186,2019,계,93879.0,
187,2019,서울,17872.0,9729107.0
188,2019,부산,5936.0,3413841.0
189,2019,대구,4325.0,2438031.0
190,2019,인천,4469.0,2957026.0
191,2019,광주,2191.0,1456468.0
192,2019,대전,2386.0,1474870.0
193,2019,울산,1852.0,1148019.0
194,2019,세종,428.0,340575.0
195,2019,경기,22648.0,13239666.0
196,2019,강원,3169.0,1541502.0
197,2019,충북,3075.0,1600007.0
198,2019,충남,4384.0,2123709.0
199,2019,전북,3887.0,1818917.0
200,2019,전남,4429.0,1868745.0
201,2019,경북,5839.0,2665836.0
202,2019,경남,5871.0,3362553.0
203,2019,제주,1112.0,670989.0
204,2019,기타,,
205,2020,계,102532.0,
206,2020,서울,19512.0,9668465.0
207,2020,부산,6418.0,3391946.0
208,2020,대구,4767.0,2418346.0
209,2020,인천,4943.0,2942828.0
210,2020,광주,2419.0,1450062.0
211,2020,대전,2606.0,1463882.0
212,2020,울산,2013.0,1136017.0
213,2020,세종,502.0,355831.0
214,2020,경기,25035.0,13427014.0
215,2020,강원,3480.0,1542840.0
216,2020,충북,3289.0,1600837.0
217,2020,충남,4785.0,2121029.0
218,2020,전북,4174.0,1804104.0
219,2020,전남,4675.0,1851549.0
220,2020,경북,6379.0,2639422.0
221,2020,경남,6309.0,3340216.0
222,2020,제주,1223.0,674635.0
223,2020,기타,,
224,2009,세종,,
225,2010,세종,,
226,2011,세종,,
227,2021,서울,,9509458.0
228,2021,부산,,3350380.0
229,2021,대구,,2385412.0
230,2021,인천,,2948375.0
231,2021,광주,,1441611.0
232,2021,대전,,1452251.0
233,2021,울산,,1121592.0
234,2021,세종,,371895.0
235,2021,경기,,13565450.0
236,2021,강원,,1538492.0
237,2021,충북,,1597427.0
238,2021,충남,,2119257.0
239,2021,전북,,1786855.0
240,2021,전남,,1832803.0
241,2021,경북,,2626609.0
242,2021,경남,,3314183.0
243,2021,제주,,676759.0
