순위,영화명,개봉일,매출액 ,매출액 점유율,누적매출액 ,관객수 ,누적관객수 ,스크린수 ,상영횟수 ,대표국적 ,국적 ,제작사 ,배급사 ,등급 ,장르 ,감독 ,배우 
4728,"파리오페라 발레의 별, 아녜스",2014-12-10,"233,500",0.0%,"9,947,000",41,"1,585",1,2,프랑스,프랑스,,판씨네마(주),전체관람가,다큐멘터리,마를렌느 이오네스코,아녜스 르테스튀
4758,100억의 식탁,,"200,000",0.0%,"310,000",40,58,1,1,독일,독일,,,,다큐멘터리,발렌틴 투른,
4758,Diff 2018 경쟁6,,"277,000",0.0%,"277,000",40,40,1,2,한국,한국,,,,드라마,,
4758,강박충동,,"186,000",0.0%,"1,155,000",40,238,1,3,미국,미국,,,,"범죄,스릴러",리차드 플레이셔,"오손 웰즈,다이안 바르시,딘 스톡웰"
4758,겁쟁이 페달: 더 무비,2016-01-14,"217,750",0.0%,"83,808,942",40,"11,817",1,5,일본,일본,,(주)미디어캐슬,전체관람가,애니메이션,나가누마 노리히로,
4758,국경저편에서,,"200,000",0.0%,"658,000",40,111,1,3,프랑스,"프랑스,벨기에,호주,핀란드",,,,다큐멘터리,샹탈 애커만,
4758,그랜드 호텔,,"80,000",0.0%,"572,000",40,286,1,2,미국,미국,,,,드라마,에드문드 골딩,"그레타 가르보,존 배리모어"
4758,더 록,1996-07-13,"80,000",0.0%,"243,000",40,93,1,1,미국,미국,"할리우드픽처스,제리 브룩하이머 필름",,고등학생이상관람가,"액션,스릴러",마이클 베이,"니콜라스 케이지,숀 코네리,에드 해리스,존 스펜서"
4758,봉신연의: 영웅의 귀환,2016-09-22,"249,500",0.0%,"48,439,500",40,"6,383",1,17,홍콩,홍콩,,(주)키다리이엔티,12세이상관람가,"판타지,액션",허안,"이연걸,판빙빙,안젤라 베이비,고천락,양가휘,문장"
4758,비장의 술수,,"80,000",0.0%,"80,000",40,40,1,2,미국,미국,,,,"드라마,액션,범죄",빌리 와일더,"커크 더글라스,잔 스털링,로버트 아서"
4758,살아남은 이유,,"277,200",0.0%,"277,200",40,40,1,2,영국,영국,,,,다큐멘터리,,
4758,수면병,,"190,000",0.0%,"190,000",40,40,1,3,독일,"독일,프랑스,네덜란드",,,,드라마,울리히 콜러,
4758,"안녕, 미누",2020-05-27,"191,000",0.0%,"191,000",40,40,1,7,한국,한국,바른미디어,"영화사 풀,(주)영화사 친구",12세이상관람가,다큐멘터리,지혜원,
4758,어네스트와 셀레스틴,2014-02-20,"359,000",0.0%,"334,723,100",40,"49,743",1,1,프랑스,프랑스,,씨너스엔터테인먼트(주),전체관람가,애니메이션,"스테판 오비에,뱅상 파타,벤자민 레너","램버트 윌슨,안느-마리 루프"
4758,어바웃 레이,2016-11-24,"200,000",0.0%,"74,162,502",40,"10,092",1,1,미국,미국,,오퍼스픽쳐스(유),15세이상관람가,"코미디,드라마",게비 델랄,"엘르 패닝,나오미 왓츠,수잔 서랜든"
4758,전화의 저편,,"192,000",0.0%,"726,000",40,123,1,3,이탈리아,이탈리아,,,,"드라마,전쟁",로베르토 로셀리니,
4758,정오의 낯선 물체,,"400,000",0.0%,"400,000",40,40,1,1,태국,태국,,,,"다큐멘터리,드라마,미스터리",아핏차퐁 위라세타쿤,
4758,쾌락,,"197,000",0.0%,"968,000",40,177,1,3,프랑스,프랑스,,,15세이상관람가,,맥스 오퓌스,끌로드 도핀
4758,파도의 목소리 - 신치마치편,,"257,000",0.0%,"617,000",40,112,1,2,일본,일본,,,,다큐멘터리,"사카이 고,하마구치 류스케",
4758,피아노 조율사,,"254,000",0.0%,"254,000",40,40,1,2,우크라이나,"우크라이나,러시아",,,,기타,,
4758,해피 이벤트,2013-04-25,"200,000",0.0%,"37,347,500",40,"5,308",1,1,프랑스,프랑스,,주식회사 마운틴픽쳐스,청소년관람불가,"멜로/로맨스,드라마,코미디",레미 베잔송,"루이스 보르고인,피오 마르마이"
4758,허슬,,"259,000",0.0%,"259,000",40,40,1,2,미국,미국,,,,"범죄,드라마",로버트 알드리치,"버트 레이놀즈,까뜨린느 드뇌브,벤 존슨"
4779,FIWOM 2018 피움초이스1,,"265,300",0.0%,"265,300",39,39,1,1,한국,한국,,,,기타,,
4779,kqff 2018 해외단편5: 로스트 인 퀴어네이션,,"273,000",0.0%,"273,000",39,39,1,2,기타,기타,,,,기타,,
4779,내 배우 영업전_강길우,,"247,000",0.0%,"247,000",39,39,1,9,한국,한국,,,,기타,,
4779,당신이어서 고마워요,2019-05-08,"134,000",0.0%,"134,000",39,39,5,19,일본,일본,,(주)인포투스,전체관람가,드라마,스즈키 코스케,"미즈노 구미,야마자키 하지메"
4779,러블리 마드리드,2018-03-22,"44,000",0.0%,"44,000",39,39,4,39,스페인,스페인,,(주)케이알씨지,청소년관람불가,드라마,데이빗 트루에바,마리아 발베르드
4779,맨 프럼 어스2: 홀로신,2018-05-16,"60,000",0.0%,"60,000",39,39,5,39,미국,미국,,주식회사 레드아이스,12세이상관람가,"드라마,판타지,SF",리차드 쉔크만,"마이클 돈,바네사 윌리암스,윌리엄 캇"
4779,몽상가,,"195,000",0.0%,"195,000",39,39,1,2,기타,기타,,,,드라마,,
4779,미라클 워커,,"78,000",0.0%,"3,668,000",39,"1,834",1,1,,,,,,,,
4779,뱀파이어,,"180,000",0.0%,"536,000",39,104,1,3,프랑스,"프랑스,독일",,,,공포(호러),칼 테오도르 드레이어,"줄리안 웨스트,모리스 슈츠"
4779,불편한 영화제 + 더글라스 톰킨스: 자연을 남기다,,"195,000",0.0%,"195,000",39,39,1,2,기타,기타,,,,기타,,
4779,새벽,,"182,000",0.0%,"182,000",39,39,1,3,프랑스,프랑스,,,,"멜로/로맨스,드라마",마르셀 카르네,"장 가뱅,줄 베리"
4779,스푸어,,"258,000",0.0%,"258,000",39,39,1,4,폴란드,"폴란드,독일,체코",,,,기타,,
4779,시티 빌로우,,"190,000",0.0%,"190,000",39,39,1,3,독일,"독일,프랑스",,,,드라마,크리스토프 호흐호이슬러,
4779,애연,2018-06-28,"39,000",0.0%,"39,000",39,39,5,39,한국,한국,(주)케이알씨지,(주)케이알씨지,15세이상관람가,멜로/로맨스,이숭환,"김가빈,김진수,오상윤,이수빈,이자은"
4779,오!? 미쉐린 스타,,"273,000",0.0%,"273,000",39,39,1,1,덴마크,덴마크,,,,다큐멘터리,,
4779,유정 - 스며들다,2019-04-24,"112,000",0.0%,"112,000",39,39,5,39,한국,한국,(주)노시스컴퍼니,(주)노시스컴퍼니,청소년관람불가,멜로/로맨스,"황일,황일","전광렬,정연주,김덕현,오원빈,공대유,이승연,김수응,이병준,심민,이재형,최종남,손지나"
4779,전웅 맥아더,1977-12-22,"117,000",0.0%,"302,000",39,115,1,1,미국,미국,유니버셜 픽쳐스,,,"드라마,전쟁",조세프 서전트,그레고리 펙
4779,진흙,,"201,000",0.0%,"201,000",39,39,1,2,미국,"미국,인도네시아,덴마크",,,,다큐멘터리,,
4779,천녀유혼,2011-05-12,"233,000",0.0%,"497,537,500",39,"66,357",1,12,중국,중국,,씨너스엔터테인먼트(주),12세이상관람가,"SF,판타지,멜로/로맨스",엽위신,"유역비,고천락"
4779,퀴어영화 뷰티풀(감독판),,"195,000",0.0%,"195,000",39,39,1,1,한국,한국,99film,,청소년관람불가,"멜로/로맨스,코미디",백인규,"김현목,나도환,최찬호,최지웅"
4779,태양을 덮다,2021-03-11,"195,000",0.0%,"195,000",39,39,1,2,일본,일본,,(주)트리플픽쳐스,전체관람가,드라마,사토 후토시,"키타무라 유키야,하카마다 요시히코"
4779,파도의 목소리 - 게센누마편,,"247,000",0.0%,"587,000",39,107,1,2,일본,일본,,,,다큐멘터리,"사카이 고,하마구치 류스케",
4779,팬티 이야기,,"234,000",0.0%,"234,000",39,39,1,2,벨기에,벨기에,,,,다큐멘터리,,
4779,프랭크,2014-09-25,"227,000",0.0%,"415,273,145",39,"53,188",1,3,영국,"영국,아일랜드",,(주)영화사 진진,15세이상관람가,"코미디,드라마",레니 에이브러햄슨,"마이클 패스벤더,도널 글리슨,매기 질렌할,스쿳 맥네이리"
4779,프로젝트 메자,2018-01-25,"89,000",0.0%,"89,000",39,39,5,39,캐나다,캐나다,,주식회사 레드아이스,청소년관람불가,"액션,SF",제임스 마크,
4779,하늘은 스스로 돕는자를 돕는다,,"190,000",0.0%,"190,000",39,39,1,3,독일,독일,,,,"드라마,범죄",베르너 헤어조크,
4805,"3월 수요단편극장 주목하라, 그녀들을! “전여빈, 박소담, 정유미”",,"304,000",0.0%,"304,000",38,38,1,1,한국,한국,,,,기타,,
4805,SEFF2019 요나스 메카스 추모전: 오마쥬 단편 모음,,"222,000",0.0%,"222,000",38,38,1,1,기타,기타,,,,다큐멘터리,,
4805,SIFFF 2019 오감만족 국제단편경선 2018 수상작,,"570,000",0.0%,"570,000",38,38,1,1,기타,기타,,,,기타,,
4805,"그곳, 날씨는",,"266,000",0.0%,"266,000",38,38,1,2,한국,한국,,,,다큐멘터리,이원우,
4805,김금순배우 상영회,,"404,000",0.0%,"404,000",38,38,1,1,한국,한국,,,,기타,,
4805,나 자신이 되기 위한 투쟁,,"254,100",0.0%,"254,100",38,38,1,1,미국,미국,,,,다큐멘터리,,
4805,나 홀로 웨딩,,"176,000",0.0%,"176,000",38,38,1,2,벨기에,벨기에,,,,드라마,,
4805,다섯개의 무덤,,"156,000",0.0%,"156,000",38,38,1,3,미국,미국,,,,"스릴러,전쟁",빌리 와일더,
4805,더 테이블,2017-08-24,"290,000",0.0%,"831,052,100",38,"103,092",1,5,한국,한국,볼미디어(주),(주)엣나인필름,12세이상관람가,"드라마,멜로/로맨스",김종관,"정유미,한예리,정은채,임수정,박윤주,전성우,정규환,안성문,이재훈,황유진,연우진,정준원,정예녹,임선우"
4805,러브 어페어,,"177,000",0.0%,"177,000",38,38,1,3,미국,미국,,,12세관람가,"코미디,드라마,멜로/로맨스",레오 맥커레이,"아이린 던,찰스 보이어"
4805,마담 보바리,2015-12-10,"76,000",0.0%,"56,436,900",38,"7,259",1,2,미국,미국,,(주)영화사 진진,청소년관람불가,드라마,소피 바르트,"미아 와시코브스카,에즈라 밀러,폴 지아마티,리스 이판"
4805,배드 타이밍,1984-01-01,"76,000",0.0%,"76,000",38,38,1,1,미국,미국,랭크 필름 오가니제이션,,연소자관람불가,드라마,니콜라스 로에그,"테레사 러셀,아트 가펑클"
4805,북호텔,,"178,000",0.0%,"1,146,000",38,216,1,3,프랑스,프랑스,,,15세이상관람가,,마르셀 카르네,아나벨라
4805,빙과,,"320,000",0.0%,"320,000",38,38,2,4,일본,일본,,,12세이상관람가,드라마,아사토 마리,야마자키 켄토
4805,샤먼 로드,2021-07-03,"186,000",0.0%,"186,000",38,38,1,1,한국,한국,강 컨텐츠,강 컨텐츠,12세이상관람가,다큐멘터리,최상진,"박성미,필립 로조뜨,꼴레뜨 그랑종-로조뜨,마리 캐롤라인 반프랑켄,변우균,모드 다바단,이삼헌,디디에 에까누,이다도시,심달기,홍일화,정행"
4805,서구 문명의 몰락,,"259,000",0.0%,"259,000",38,38,1,1,미국,미국,,,,기타,페넬로페 스피리스,
4805,섬과 지리학자,,"228,000",0.0%,"228,000",38,38,1,2,프랑스,프랑스,,,,다큐멘터리,,
4805,"섹스 후, 5일간의 여행",2018-03-29,"57,000",0.0%,"57,000",38,38,5,38,미국,미국,,(주)케이알씨지,15세이상관람가,드라마,대니 버데이,"캠 지갠뎃,지나 말론"
4805,슈퍼문,2021-09-09,"173,000",0.0%,"173,000",38,38,2,10,한국,한국,깜보 스튜디오,예지림엔터테인먼트,전체관람가,"애니메이션,어드벤처,코미디",홍대영,"송유미,김정훈,한효정,정영수,임학묵,이승준,노별이,김보겸,임학묵,한효정,이승준,김정훈,임학묵,노별이,김보겸,이승준,정영수,김정훈,한효정"
4805,실험적 도시,,"228,000",0.0%,"228,000",38,38,1,2,미국,미국,,,,다큐멘터리,,
4805,"안녕, 내일",,"246,000",0.0%,"246,000",38,38,1,2,폴란드,폴란드,,,,기타,,
4805,어택,,"237,000",0.0%,"237,000",38,38,1,2,미국,미국,,,,"전쟁,액션",로버트 알드리치,"잭 팰런스,리 마빈,에디 알버트"
4805,오! 꿈의 나라,,"266,000",0.0%,"266,000",38,38,1,2,한국,한국,,,,드라마,"이은,장동홍,장윤현",
4805,완전범죄: 키드냅,2018-03-29,"55,000",0.0%,"55,000",38,38,5,38,캐나다,캐나다,,(주)케이알씨지,15세이상관람가,스릴러,아론 우들리,"케빈 지거스,레이 리오타,로라 밴더부트,빅터 가버"
4805,"월드 트레이드 센터, 그 후",,"228,000",0.0%,"228,000",38,38,1,2,미국,미국,,,,다큐멘터리,,
4805,위니프레드 바그너의 고백 2부,,"253,000",0.0%,"253,000",38,38,1,2,서독,"서독,오스트리아",,,,,한스-저건 사이버버그,
4805,최후의 총잡이,1976-08-14,"114,000",0.0%,"862,000",38,289,1,2,미국,미국,이십세기폭스필름코퍼레이션,,,"서부극(웨스턴),액션",앤드류 V. 맥라글렌,"바바라 허쉬,찰톤 헤스톤,제임스 코번"
4805,태양을 훔친 사나이,,"271,000",0.0%,"271,000",38,38,1,2,일본,일본,,,,기타,하세가와 카즈히코,
4805,패션 전쟁,,"245,000",0.0%,"245,000",38,38,1,2,미국,미국,,,,"범죄,드라마","로버트 알드리치,빈센트 셔먼","리 J. 콥,커윈 매튜스,지아 스칼라"
4805,풍운의 젠다성,,"76,000",0.0%,"3,071,000",38,"1,505",1,3,미국,미국,,,,어드벤처,리처드 소프,"스튜어트 그랜저,데보라 카"
4805,하늘이 이렇게 푸를 리 없다,,"252,000",0.0%,"252,000",38,38,1,2,일본,일본,,,,"코미디,드라마",에모토 아키라,"미우라 토모카즈,쿠가 요시코,키시모토 가요코,후와 만사쿠,키시베 잇토쿠,이와마츠 료"
4836,3월 단편 상상극장-Women's March,,"296,000",0.0%,"296,000",37,37,1,4,한국,한국,,,,기타,,
4836,BISFF2019 리턴즈! 부산국제단편영화제 수상작 순회상영,,"254,500",0.0%,"254,500",37,37,1,3,한국,한국,,,,기타,,
4836,결혼한 여자,,"180,000",0.0%,"180,000",37,37,1,3,프랑스,프랑스,,,,드라마,장 뤽 고다르,
4836,그림자꽃,2021-10-27,"259,000",0.0%,"259,000",37,37,1,2,한국,한국,블루버드픽처스,(주)엣나인필름,12세이상관람가,다큐멘터리,이승준,김련희
4836,글로리데이,2016-03-24,"268,000",0.0%,"1,487,493,668",37,"189,442",2,6,한국,한국,(주)보리픽쳐스,(주)엣나인필름,15세이상관람가,드라마,최정열,"지수,김준면,류준열,김희찬,김동완,김종수,문희경,유하복,이주실,이춘우,장시원,박성인,정다연,배연수,정지상,안병래,여기한,조제웅,유승완,윤기현,윤민영,이상희,이성훈,최승민,한보람,김용,정기섭,허준석,김명준,최준영,한혜지,승의열,임용순,김비비,권범택,김성철,최원"
4836,김예은 배우 특별전(인디스데이),,"37,000",0.0%,"37,000",37,37,1,2,한국,한국,,,,기타,,
4836,내가 죽인 남자,,"170,000",0.0%,"582,000",37,121,1,3,미국,미국,,,,드라마,에른스트 루비치,라이오넬 배리모어
4836,네루다,2017-05-25,"162,000",0.0%,"79,510,200",37,"10,201",1,1,칠레,"칠레,아르헨티나,프랑스",,(주)에스와이코마드,청소년관람불가,"스릴러,드라마",파블로 라라인,가엘 가르시아 베르날
4836,단편3: 잃어버린 꿈을 찾아서 ?인디피크닉2019,,"238,000",0.0%,"238,000",37,37,1,6,한국,한국,,,,기타,,
4836,라운더바우트,,"176,000",0.0%,"176,000",37,37,1,3,프랑스,프랑스,,,15세이상관람가,드라마,맥스 오퓌스,"세르주 레지아니,시몬느 시뇨레,안톤 월브룩"
4836,러브미 오어 리브 미,,"74,000",0.0%,"74,000",37,37,1,3,미국,미국,메트로-골드윈-마이어,,,"멜로/로맨스,드라마,뮤지컬",찰스 비더,"도리스 데이,제임스 카그니,카메론 미첼"
4836,매드맥스: 로드 워,2018-03-15,"45,000",0.0%,"45,000",37,37,5,37,미국,미국,,(주)케이알씨지,15세이상관람가,"액션,SF",마크 앳킨스,필립 안드레 보텔로
4836,모두를 놀라게 한 남자,,"256,000",0.0%,"256,000",37,37,1,2,러시아,"러시아,프랑스,에스토니아",,,,드라마,,
4836,미모사의 집,,"188,000",0.0%,"188,000",37,37,1,3,프랑스,프랑스,,,,드라마,자크 페이더,
4836,밀애,1971-08-20,"93,000",0.0%,"93,000",37,37,1,3,미국,미국,파라마운트,,,"드라마,뮤지컬,전쟁",블레이크 에드워즈,"줄리 앤드류스,록 허드슨"
4836,방갈로,,"176,000",0.0%,"176,000",37,37,1,3,독일,독일,,,,드라마,울리히 콜러,"트린 디어홈,데비드 스트리에소브,니콜 글레이서"
4836,봄이 지나가고,,37,0.0%,"27,037",37,64,1,1,기타,"기타,미국",,,,다큐멘터리,,
4836,산을 휘감는 노래,,"210,000",0.0%,"210,000",37,37,1,2,인도,인도,,,,다큐멘터리,,
4836,성공작자 2,,"254,000",0.0%,"254,000",37,37,1,2,홍콩,홍콩,,,,드라마,구예도,
4836,성혜의 나라,2020-01-30,"182,000",0.0%,"182,000",37,37,1,4,한국,한국,닷 팩토리,아이 엠,12세이상관람가,드라마,정형석,"송지인,강두,안나영,송동환,편준의,유새빈,안승원,여이레,이희영,김용선,석정만,김학묵,하경화,최문경,이문주,김예림,전윤찬,조재인,이새연,박영서,김소영,최진한,김성훈,조연수,정형석,박해화,신시아,김유일,장성룡,전현교,이순이,이순이,박재형,김경미"
4836,실버라이닝 플레이북,2013-02-14,"236,000",0.0%,"956,728,500",37,"128,094",1,2,미국,미국,,(주)나이너스엔터테인먼트,청소년관람불가,"멜로/로맨스,코미디,드라마",데이빗 O. 러셀,"제니퍼 로렌스,브래들리 쿠퍼,로버트 드 니로"
4836,언제나 마음은 태양,1972-09-22,"74,000",0.0%,"126,000",37,63,1,2,영국,영국,콜럼비아 픽쳐스 코포레이션,,,드라마,제임스 클라벨,"크리스찬 로버츠,시드니 포이티어"
4836,원 나잇 리멤버,2018-03-15,"45,000",0.0%,"45,000",37,37,5,37,미국,미국,,(주)케이알씨지,15세이상관람가,"코미디,드라마",제이미 린든,"채닝 테이텀,오스카 아이삭,로자리오 도슨"
4836,이니스프리,,"170,000",0.0%,"170,000",37,37,1,3,스페인,스페인,,,,다큐멘터리,호세 루이스 게린,
4836,인어와 함께 춤을,,"258,000",0.0%,"258,000",37,37,1,2,폴란드,폴란드,,,,기타,,
4836,제 17회 미쟝센 단편영화제 수상작 특별전 단편섹션 3,,"185,000",0.0%,"185,000",37,37,1,3,한국,한국,,,,기타,,
4836,초현실,,"256,000",0.0%,"256,000",37,37,1,4,한국,한국,,,,다큐멘터리,김응수,
4836,컬러퍼플,1986-10-18,"111,000",0.0%,"315,000",37,105,1,1,미국,미국,"엠블린엔터테인먼트,구버피터스컴퍼니,워너 브러더스 픽쳐스",,국민학생관람불가,드라마,스티븐 스필버그,"대니 글로버,우피 골드버그,오프라 윈프리,아코수아 버시아"
4836,코도모츠카이,,"204,000",0.0%,"204,000",37,37,1,4,일본,일본,FIMS 테스트영화사,,15세이상관람가,공포(호러),시미즈 다카시,타키자와 히데아키
4836,햄의 비밀 + 해피해피쿠킹타임,,"185,000",0.0%,"185,000",37,37,1,2,기타,기타,,,,기타,,
4836,헌팅 오브 힐하우스,2019-09-05,"190,000",0.0%,"190,000",37,37,5,28,미국,미국,,위드 라이언 픽쳐스,청소년관람불가,스릴러,다니엘 패런즈,"힐러리 더프,조나단 베넷"
4836,형슬우 감독 특별전(인디스데이),,"37,000",0.0%,"37,000",37,37,1,2,한국,한국,,,,기타,,
4836,희망의 나날,,"178,000",0.0%,"178,000",37,37,1,3,스페인,"스페인,프랑스",,,,"드라마,전쟁",,
4869,12월 단편 상상극장-2018 단편 명불허전,,"288,000",0.0%,"288,000",36,36,1,4,한국,한국,,,,기타,"유재선,방성준,김도영,이영미",
4869,17th 필름다빈 프로젝트: 공민정 배우전,,"323,000",0.0%,"323,000",36,36,1,1,한국,한국,,,,드라마,,
4869,1월 수요단편극장 - 2018년을 빛낸 화제의 단편영화 넷,,"279,000",0.0%,"279,000",36,36,1,1,한국,한국,,,,기타,,
4869,AIYOUTH 2018 경쟁 언더24 (3),,"40,000",0.0%,"40,000",36,36,1,1,기타,기타,,,,기타,,
4869,Diff 2019 경쟁3,,"244,000",0.0%,"244,000",36,36,1,1,한국,한국,,,,드라마,,
4869,SIDOF2018_폐막식:SIDOF2018 수상작,,"351,500",0.0%,"351,500",36,36,1,1,기타,기타,,,,기타,,
4869,공조,2017-01-18,"252,000",0.0%,"63,783,303,326",36,"7,817,654",1,2,한국,한국,"(주)제이케이필름,(주)씨제이이엔엠,영화사 이창,(주)에이치비엔터테인먼트",(주)씨제이이엔엠,15세이상관람가,액션,김성훈,"이재남,현빈,유해진,김주혁,장영남,이해영,임윤아,이동휘,박형수,서은지,신유철,공정환,김준한,신문성,엄효섭,홍인,임용순,엄지만,신현빈,김종태"
4869,글로리아,2013-12-05,"247,500",0.0%,"58,515,900",36,"7,905",1,2,칠레,"칠레,스페인",,판씨네마(주),청소년관람불가,"드라마,코미디",세바스찬 렐리오,"폴리나 가르시아,세르지오 헤르난데즈,디에고 폰테킬라"
4869,누구도 부르지 않았다,,"224,000",0.0%,"224,000",36,36,1,2,폴란드,폴란드,,,,기타,,
4869,다시 찾은 유토피아,,"180,000",0.0%,"180,000",36,36,1,2,오스트리아,오스트리아,,,,다큐멘터리,쿨트 랑바인,
4869,더 가까이(인디스데이),,"209,000",0.0%,"209,000",36,36,1,9,한국,한국,,,,기타,,
4869,더티 해리3-집행자,1979-03-25,"72,000",0.0%,"306,000",36,114,1,2,미국,미국,"더 말파소 컴퍼니,대동",,국민학생관람불가,"범죄,액션",제임스 파르고,"클린트 이스트우드,존 밋첨"
4869,도망자 2018,2018-05-15,"53,000",0.0%,"53,000",36,36,4,35,미국,미국,,(유)조이앤시네마,15세이상관람가,"드라마,서부극(웨스턴)",마이클 베리,"에드 해리스,마이클 페나,에바 롱고리아"
4869,떼시스,1997-11-22,"163,000",0.0%,"163,000",36,36,1,1,스페인,스페인,라스 프로두시온스 델 에스코피온,,연소자관람불가,"스릴러,드라마,공포(호러)",알레한드로 아메나바르,"아나 토렌트,펠레 마르티네즈"
4869,람보,1983-06-17,"94,000",0.0%,"94,000",36,36,1,2,미국,미국,카롤코 픽쳐스,(주)제이앤씨미디어그룹,"국민학생관람불가,15세이상관람가",액션,테드 코체프,"실베스터 스탤론,리차드 크레나,브라이언 데니히,빌 맥키니"
4869,로저 코만의 세계,,"179,000",0.0%,"179,000",36,36,1,3,미국,미국,,,,다큐멘터리,,"로버트 드 니로,폴 W.S. 앤더슨,알란 애커쉬,에릭 벌포"
4869,리벤지45,2008-02-28,"72,000",0.0%,"370,000",36,80,1,1,미국,미국,,(주)코랄픽쳐스,청소년관람불가,드라마,게리 레논,"밀라 요보비치,앤거스 맥파디언"
4869,백발마녀전: 명월천국,2014-10-01,"218,000",0.0%,"15,917,000",36,"3,187",1,13,중국,중국,,(주)누리픽쳐스,12세이상관람가,"판타지,멜로/로맨스",장지량,"황효명,판빙빙,조문탁"
4869,백색도시,,"177,000",0.0%,"1,442,000",36,261,1,3,스위스,"스위스,포르투갈,영국",,,,드라마,알랭 타너,
4869,백현진 단편 기획전,,"324,000",0.0%,"324,000",36,36,1,1,한국,한국,,,,드라마,,
4869,브링 홈: 아버지의 땅,2016-09-01,"216,000",0.0%,"117,588,200",36,"15,061",1,1,한국,"한국,미국",(주)버디필름,(주)드림팩트엔터테인먼트,전체관람가,다큐멘터리,텐진 체탄 초클리,"텐진 릭돌,김민종"
4869,빌코의 아가씨들,,"234,000",0.0%,"234,000",36,36,1,2,폴란드,"폴란드,프랑스",,,,기타,안제이 바이다,
4869,빙 줄리아,2005-10-27,"108,000",0.0%,"17,731,500",36,"2,907",1,1,헝가리,헝가리,미리어드 픽쳐스,(주)쇼타임,15세관람가,드라마,이스트반 자보,"제레미 아이언스,아네트 베닝"
4869,산하고인,2016-03-10,"227,000",0.0%,"10,691,000",36,"1,455",1,17,중국,"중국,프랑스,일본",,(주)에스와이코마드,12세이상관람가,드라마,지아 장 커,"자오 타오,장애가"
4869,센스 앤 센서빌리티,1996-03-16,"72,000",0.0%,"766,000",36,292,1,1,미국,"미국,영국",콜럼비아 픽쳐스 코포레이션,,고등학생이상관람가,드라마,이안,"엠마 톰슨,휴 그랜트,케이트 윈슬렛,제임스 플릿"
4869,신 전래동화,2018-04-25,"86,000",0.0%,"86,000",36,36,6,36,한국,한국,(주)스토리제이,"(주)스토리제이,(주)드림팩트엔터테인먼트",15세이상관람가,코미디,이상훈,"재희,유다미,윤기원,안젤리나 다닐로바,안지환,강현석,김경민,김의혁,김의혁,김진형,김형석,박지영,박현우,성지혜,안민수,안은비,여창기,온정준,육은희,육은희,육진수,이규진,이상훈,이상훈,이의종,이정호,지대한,최용진,최지웅,한승표,김기두,최홍일,김경민"
4869,아가페+기적의 피아노,,"166,000",0.0%,"166,000",36,36,1,2,기타,기타,,,,기타,,
4869,아메리카의 퇴조,,"182,000",0.0%,"182,000",36,36,1,3,프랑스,프랑스,,,,"코미디,범죄,미스터리",장 뤽 고다르,
4869,언터처블,1989-11-18,"72,000",0.0%,"514,000",36,121,1,1,미국,미국,파라마운트 픽쳐스,파라마운트 픽쳐스,고등학생이상관람가,"드라마,범죄,스릴러,액션",브라이언 드 팔마,숀 코네리
4869,얼굴,,"237,000",0.0%,"237,000",36,36,1,2,폴란드,폴란드,,,,기타,,
4869,워 랜드,2018-08-28,"36,000",0.0%,"36,000",36,36,5,36,크로아티아,크로아티아,,(주)케이알씨지,15세이상관람가,"판타지,전쟁,공포(호러)",크리스티얀 밀릭크,
4869,"월든 (일기, 노트, 스케치)",,"213,000",0.0%,"213,000",36,36,1,1,미국,미국,,,,다큐멘터리,요나스 메카스,
4869,위니프레드 바그너의 고백 1부,,"234,000",0.0%,"234,000",36,36,1,2,서독,"서독,오스트리아",,,,,한스-저건 사이버버그,
4869,제 2회 콕! 애니 콘스탄틴 브론지트 마스터클래스,,"164,000",0.0%,"164,000",36,36,1,1,러시아,러시아,,,,애니메이션,콘스탄틴 브론지트,
4869,카프리 레볼루션,,"243,000",0.0%,"243,000",36,36,1,1,이탈리아,"이탈리아,프랑스",,,,드라마,마리오 마르토네,
4869,캔터베리 이야기,,"174,000",0.0%,"174,000",36,36,1,3,영국,영국,,,,"드라마,미스터리,전쟁","마이클 파웰,에메릭 프레스버거",
4869,콰이어트 히어로즈,,"252,000",0.0%,"252,000",36,36,1,2,미국,미국,,,,다큐멘터리,,
4869,트레이시,,"360,000",0.0%,"360,000",36,36,1,2,홍콩,홍콩,,,,드라마,,
4869,포스 마쥬어: 화이트 베케이션,2015-03-12,"180,000",0.0%,"40,642,400",36,"5,430",1,2,스웨덴,"스웨덴,프랑스,덴마크,노르웨이",,(주)블룸즈베리리소시스리미티드,15세이상관람가,드라마,루벤 외스틀룬드,"요하네스 쿤케,리사 로벤 콩슬리"
4869,희망의 건너편,,"244,000",0.0%,"244,000",36,36,1,2,핀란드,"핀란드,독일",,,,"코미디,드라마",아키 카우리스마키,"사카리 쿠오스마넨,빌레 버타넨"
4909,Media art work screening 3월,,"140,000",0.0%,"140,000",35,35,1,2,한국,한국,,,,기타,,
4909,[인디포럼2018] 신작전 02 끝까지 간다,,"245,000",0.0%,"245,000",35,35,1,2,한국,한국,,,,기타,,
4909,게이봉박두 프로젝트 단편 모음,,"266,000",0.0%,"266,000",35,35,1,2,한국,한국,,,,기타,,
4909,고려사람 + 용의 해,,"226,000",0.0%,"226,000",35,35,1,1,카자흐스탄,카자흐스탄,,,,기타,,
